M;;
Milk 2.5%;1_bottle;38.50
Milk 3.2%;1_bottle;42.00
Kefir;1_bottle;36.00
Sour Cream;1_pack;45.00
Butter;100_g;78.00
Cheese Holland;100_g;32.00
Cheese Parmesan;100_g;55.00
Eggs 10pcs;1_pack;55.00
Bread White;1_pc;18.50
Bread Rye;1_pc;22.00
Baguette;1_pc;15.00
Croissant;1_pc;25.00
Chicken Fillet;1_kg;185.00
Pork Steak;1_kg;210.00
Beef;1_kg;290.00
Sausage Doctors;1_kg;140.00
Salmon Fillet;100_g;65.00
Potatoes;1_kg;13.50
Onions;1_kg;15.00
Carrots;1_kg;18.00
Cucumbers;1_kg;65.00
Tomatoes;1_kg;85.00
Apples Golden;1_kg;28.00
Bananas;1_kg;52.00
Oranges;1_kg;60.00
Water;1_bottle;16.00
Coca-Cola;1_bottle;22.50
Orange Juice;1_bottle;48.00
Coffee Arabica;100_g;45.00
Tea Black;1_pack;55.00
Sugar;1_kg;32.00
Salt;1_kg;25.00
Pasta Penne;1_pack;42.00
Rice Basmati;1_kg;75.00
Buckwheat;1_kg;48.00
Sunflower;1_bottle;58.00
Chocolate Black;1_pc;45.00
Chocolate Milk;1_pc;45.00
Cookies Maria;1_pack;30.00
Ice Cream;1_pc;28.50
